Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,8,512,512,128,2048.0,21.0,432.0,2.46,8.95,1.24,8.95,memory
IntelGaudi2B,BF16,2,32,8,512,512,128,4096.0,42.0,432.0,2.46,17.9,2.49,17.9,memory
IntelGaudi2B,BF16,4,32,8,512,512,128,8192.0,84.0,432.0,2.46,35.81,4.97,35.81,memory
IntelGaudi2B,BF16,8,32,8,512,512,128,16384.0,168.0,432.0,2.46,71.61,9.94,71.61,memory
IntelGaudi2B,BF16,16,32,8,512,512,128,32768.0,336.0,432.0,2.46,143.22,19.88,143.22,memory
IntelGaudi2B,BF16,32,32,8,512,512,128,65536.0,672.0,432.0,2.46,286.44,39.77,286.44,memory
IntelGaudi2B,BF16,64,32,8,512,512,128,131072.0,1344.0,432.0,2.46,572.88,79.54,572.88,memory
IntelGaudi2B,BF16,128,32,8,512,512,128,262144.0,2688.0,432.0,2.46,1145.76,159.07,1145.76,memory
IntelGaudi2B,BF16,256,32,8,512,512,128,524288.0,5376.0,432.0,2.46,2291.52,318.15,2291.52,memory
IntelGaudi2B,BF16,512,32,8,512,512,128,1048576.0,10752.0,432.0,2.46,4583.04,636.29,4583.04,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1024,1024,128,8192.0,74.0,432.0,2.46,31.54,4.97,31.54,memory
IntelGaudi2B,BF16,2,32,8,1024,1024,128,16384.0,148.0,432.0,2.46,63.09,9.94,63.09,memory
IntelGaudi2B,BF16,4,32,8,1024,1024,128,32768.0,296.0,432.0,2.46,126.17,19.88,126.17,memory
IntelGaudi2B,BF16,8,32,8,1024,1024,128,65536.0,592.0,432.0,2.46,252.34,39.77,252.34,memory
IntelGaudi2B,BF16,16,32,8,1024,1024,128,131072.0,1184.0,432.0,2.46,504.68,79.54,504.68,memory
IntelGaudi2B,BF16,32,32,8,1024,1024,128,262144.0,2368.0,432.0,2.46,1009.36,159.07,1009.36,memory
IntelGaudi2B,BF16,64,32,8,1024,1024,128,524288.0,4736.0,432.0,2.46,2018.72,318.15,2018.72,memory
IntelGaudi2B,BF16,128,32,8,1024,1024,128,1048576.0,9472.0,432.0,2.46,4037.44,636.29,4037.44,memory
IntelGaudi2B,BF16,256,32,8,1024,1024,128,2097152.0,18944.0,432.0,2.46,8074.89,1272.58,8074.89,memory
IntelGaudi2B,BF16,512,32,8,1024,1024,128,4194304.0,37888.0,432.0,2.46,16149.78,2545.17,16149.78,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,2048,2048,128,32768.0,276.0,432.0,2.46,117.65,19.88,117.65,memory
IntelGaudi2B,BF16,2,32,8,2048,2048,128,65536.0,552.0,432.0,2.46,235.29,39.77,235.29,memory
IntelGaudi2B,BF16,4,32,8,2048,2048,128,131072.0,1104.0,432.0,2.46,470.58,79.54,470.58,memory
IntelGaudi2B,BF16,8,32,8,2048,2048,128,262144.0,2208.0,432.0,2.46,941.16,159.07,941.16,memory
IntelGaudi2B,BF16,16,32,8,2048,2048,128,524288.0,4416.0,432.0,2.46,1882.32,318.15,1882.32,memory
IntelGaudi2B,BF16,32,32,8,2048,2048,128,1048576.0,8832.0,432.0,2.46,3764.64,636.29,3764.64,memory
IntelGaudi2B,BF16,64,32,8,2048,2048,128,2097152.0,17664.0,432.0,2.46,7529.29,1272.58,7529.29,memory
IntelGaudi2B,BF16,128,32,8,2048,2048,128,4194304.0,35328.0,432.0,2.46,15058.57,2545.17,15058.57,memory
IntelGaudi2B,BF16,256,32,8,2048,2048,128,8388608.0,70656.0,432.0,2.46,30117.15,5090.33,30117.15,memory
IntelGaudi2B,BF16,512,32,8,2048,2048,128,16777216.0,141312.0,432.0,2.46,60234.3,10180.66,60234.3,memory
,,,,,,,,,,,,,,,
