DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,512,512,1,4544,71,40,18176,False,1,32,256,22.44,7.21,7.25,7.23,7.26,137.74
BF16,512,512,2,4544,71,40,18176,False,1,32,256,38.44,7.32,7.4,7.36,7.42,269.54
BF16,512,512,4,4544,71,40,18176,False,1,32,256,70.43,7.54,7.69,7.62,7.74,516.8
BF16,512,512,8,4544,71,40,18176,False,1,32,256,134.41,7.99,8.27,8.13,8.38,954.65
BF16,512,512,16,4544,71,40,18176,False,1,32,256,262.38,8.87,9.44,9.16,9.65,1658.03
BF16,512,512,32,4544,71,40,18176,False,1,32,256,518.31,10.63,11.79,11.21,12.2,2622.95
BF16,512,512,64,4544,71,40,18176,False,1,32,256,1030.17,14.16,16.47,15.31,17.3,3699.42
BF16,512,512,128,4544,71,40,18176,False,1,32,256,2053.9,21.23,25.83,23.53,27.49,4656.24
BF16,512,512,256,4544,71,40,18176,False,1,32,256,4101.34,38.64,47.85,43.24,51.16,5003.91
BF16,512,512,512,4544,71,40,18176,False,1,32,256,8196.24,75.72,94.15,84.92,100.76,5081.38
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,4544,71,40,18176,False,1,32,256,42.31,7.29,7.32,7.3,7.37,135.69
BF16,1024,512,2,4544,71,40,18176,False,1,32,256,78.18,7.47,7.54,7.5,7.64,261.78
BF16,1024,512,4,4544,71,40,18176,False,1,32,256,149.91,7.83,7.98,7.9,8.18,489.0
BF16,1024,512,8,4544,71,40,18176,False,1,32,256,293.37,8.56,8.85,8.71,9.26,863.93
BF16,1024,512,16,4544,71,40,18176,False,1,32,256,580.29,10.02,10.6,10.31,11.42,1401.05
BF16,1024,512,32,4544,71,40,18176,False,1,32,256,1154.13,12.94,14.09,13.51,15.74,2033.04
BF16,1024,512,64,4544,71,40,18176,False,1,32,256,2301.82,18.77,21.08,19.92,24.38,2625.1
BF16,1024,512,128,4544,71,40,18176,False,1,32,256,4597.19,30.44,35.05,32.74,41.66,3072.49
BF16,1024,512,256,4544,71,40,18176,False,1,32,256,9187.93,57.07,66.28,61.67,79.49,3220.53
BF16,1024,512,512,4544,71,40,18176,False,1,32,256,18369.41,112.58,131.0,121.77,157.41,3252.65
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,4544,71,40,18176,False,1,32,256,93.67,7.43,7.47,7.45,7.62,131.23
BF16,2048,512,2,4544,71,40,18176,False,1,32,256,180.9,7.76,7.83,7.79,8.13,246.0
BF16,2048,512,4,4544,71,40,18176,False,1,32,256,355.35,8.41,8.55,8.48,9.16,436.68
BF16,2048,512,8,4544,71,40,18176,False,1,32,256,704.25,9.71,10.0,9.86,11.21,713.65
BF16,2048,512,16,4544,71,40,18176,False,1,32,256,1402.05,12.32,12.9,12.61,15.32,1044.39
BF16,2048,512,32,4544,71,40,18176,False,1,32,256,2797.66,17.54,18.7,18.12,23.55,1358.81
BF16,2048,512,64,4544,71,40,18176,False,1,32,256,5588.87,27.99,30.29,29.13,39.99,1600.4
BF16,2048,512,128,4544,71,40,18176,False,1,32,256,11171.29,48.87,53.48,51.17,72.89,1756.07
BF16,2048,512,256,4544,71,40,18176,False,1,32,256,22336.14,93.92,103.14,98.52,141.95,1803.45
BF16,2048,512,512,4544,71,40,18176,False,1,32,256,44665.83,186.29,204.71,195.48,282.34,1813.42
,,,,,,,,,,,,,,,,,
