DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,512,512,1,4096,32,32,11008,True,1,32,256,28.88,7.07,7.17,7.12,7.16,139.66
BF16,512,512,2,4096,32,32,11008,True,1,32,256,52.49,7.35,7.53,7.44,7.53,265.6
BF16,512,512,4,4096,32,32,11008,True,1,32,256,99.71,7.9,8.26,8.08,8.26,484.26
BF16,512,512,8,4096,32,32,11008,True,1,32,256,194.15,9.0,9.73,9.36,9.72,823.05
BF16,512,512,16,4096,32,32,11008,True,1,32,256,383.04,11.2,12.65,11.92,12.65,1264.82
BF16,512,512,32,4096,32,32,11008,True,1,32,256,760.82,15.6,18.5,17.05,18.5,1729.73
BF16,512,512,64,4096,32,32,11008,True,1,32,256,1516.38,24.39,30.21,27.29,30.2,2119.21
BF16,512,512,128,4096,32,32,11008,True,1,32,256,3027.49,41.99,53.62,47.79,53.61,2387.61
BF16,512,512,256,4096,32,32,11008,True,1,32,256,6049.72,83.55,106.81,95.16,106.79,2397.23
BF16,512,512,512,4096,32,32,11008,True,1,32,256,12094.18,166.8,213.31,190.01,213.26,2400.83
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,4096,32,32,11008,True,1,32,256,55.35,7.26,7.35,7.3,7.4,135.14
BF16,1024,512,2,4096,32,32,11008,True,1,32,256,105.43,7.71,7.89,7.8,7.99,250.31
BF16,1024,512,4,4096,32,32,11008,True,1,32,256,205.6,8.63,8.99,8.81,9.19,435.26
BF16,1024,512,8,4096,32,32,11008,True,1,32,256,405.94,10.45,11.18,10.82,11.59,690.25
BF16,1024,512,16,4096,32,32,11008,True,1,32,256,806.62,14.11,15.56,14.83,16.38,976.8
BF16,1024,512,32,4096,32,32,11008,True,1,32,256,1607.97,21.41,24.32,22.86,25.96,1232.67
BF16,1024,512,64,4096,32,32,11008,True,1,32,256,3210.67,36.02,41.84,38.92,45.12,1418.44
BF16,1024,512,128,4096,32,32,11008,True,1,32,256,6416.08,65.24,76.87,71.04,83.44,1534.04
BF16,1024,512,256,4096,32,32,11008,True,1,32,256,12826.9,130.06,153.32,141.67,166.44,1538.09
BF16,1024,512,512,4096,32,32,11008,True,1,32,256,25648.53,259.82,306.33,283.03,332.57,1539.53
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,4096,32,32,11008,True,1,32,256,116.88,7.62,7.71,7.67,7.88,126.9
BF16,2048,512,2,4096,32,32,11008,True,1,32,256,228.5,8.44,8.62,8.53,8.96,223.21
BF16,2048,512,4,4096,32,32,11008,True,1,32,256,451.74,10.08,10.44,10.26,11.12,359.71
BF16,2048,512,8,4096,32,32,11008,True,1,32,256,898.21,13.36,14.09,13.72,15.45,517.8
BF16,2048,512,16,4096,32,32,11008,True,1,32,256,1791.15,19.92,21.37,20.64,24.1,663.9
BF16,2048,512,32,4096,32,32,11008,True,1,32,256,3577.03,33.04,35.95,34.49,41.41,772.76
BF16,2048,512,64,4096,32,32,11008,True,1,32,256,7148.79,59.28,65.09,62.18,76.02,841.88
BF16,2048,512,128,4096,32,32,11008,True,1,32,256,14292.32,111.75,123.38,117.56,145.24,881.3
BF16,2048,512,256,4096,32,32,11008,True,1,32,256,28579.38,223.08,246.34,234.69,290.05,882.61
BF16,2048,512,512,4096,32,32,11008,True,1,32,256,57153.5,445.86,492.37,469.07,579.78,883.09
,,,,,,,,,,,,,,,,,
