DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,512,512,1,4096,32,8,14336,True,8,32,256,121.9,42.38,42.39,42.39,42.54,23.51
BF16,512,512,2,4096,32,8,14336,True,8,32,256,205.39,42.44,42.47,42.45,42.77,46.76
BF16,512,512,4,4096,32,8,14336,True,8,32,256,372.37,42.55,42.61,42.58,43.22,92.55
BF16,512,512,8,4096,32,8,14336,True,8,32,256,706.33,42.77,42.89,42.83,44.13,181.28
BF16,512,512,16,4096,32,8,14336,True,8,32,256,1374.25,43.22,43.45,43.34,45.94,348.28
BF16,512,512,32,4096,32,8,14336,True,8,32,256,2710.08,44.12,44.58,44.35,49.56,645.68
BF16,512,512,64,4096,32,8,14336,True,8,32,256,5381.75,45.91,46.84,46.37,56.79,1126.96
BF16,512,512,128,4096,32,8,14336,True,8,32,256,10725.09,49.5,51.36,50.43,71.28,1795.74
BF16,512,512,256,4096,32,8,14336,True,8,32,256,21411.77,76.28,79.99,78.13,119.8,2136.89
BF16,512,512,512,4096,32,8,14336,True,8,32,256,42785.13,143.26,150.68,146.96,230.24,2223.77
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,4096,32,8,14336,True,8,32,256,207.14,42.41,42.42,42.42,42.74,23.4
BF16,1024,512,2,4096,32,8,14336,True,8,32,256,375.86,42.49,42.52,42.51,43.16,46.34
BF16,1024,512,4,4096,32,8,14336,True,8,32,256,713.31,42.66,42.72,42.69,44.0,90.91
BF16,1024,512,8,4096,32,8,14336,True,8,32,256,1388.21,43.0,43.12,43.06,45.69,175.09
BF16,1024,512,16,4096,32,8,14336,True,8,32,256,2738.02,43.68,43.92,43.8,49.06,326.13
BF16,1024,512,32,4096,32,8,14336,True,8,32,256,5437.62,45.05,45.51,45.28,55.81,573.37
BF16,1024,512,64,4096,32,8,14336,True,8,32,256,10836.83,47.77,48.69,48.23,69.3,923.52
BF16,1024,512,128,4096,32,8,14336,True,8,32,256,21635.25,53.21,55.07,54.14,96.29,1329.32
BF16,1024,512,256,4096,32,8,14336,True,8,32,256,43232.09,83.7,87.41,85.55,169.82,1507.48
BF16,1024,512,512,4096,32,8,14336,True,8,32,256,86425.76,158.1,165.52,161.8,330.29,1550.15
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,4096,32,8,14336,True,8,32,256,382.84,42.47,42.48,42.47,43.14,23.18
BF16,2048,512,2,4096,32,8,14336,True,8,32,256,727.28,42.61,42.64,42.62,43.96,45.5
BF16,2048,512,4,4096,32,8,14336,True,8,32,256,1416.15,42.9,42.95,42.92,45.61,87.7
BF16,2048,512,8,4096,32,8,14336,True,8,32,256,2793.88,43.47,43.58,43.53,48.9,163.6
BF16,2048,512,16,4096,32,8,14336,True,8,32,256,5549.36,44.61,44.84,44.73,55.48,288.39
BF16,2048,512,32,4096,32,8,14336,True,8,32,256,11060.31,46.9,47.36,47.13,68.64,466.2
BF16,2048,512,64,4096,32,8,14336,True,8,32,256,22082.2,51.48,52.4,51.94,94.97,673.9
BF16,2048,512,128,4096,32,8,14336,True,8,32,256,44126.0,60.63,62.49,61.56,147.62,867.09
BF16,2048,512,256,4096,32,8,14336,True,8,32,256,88213.59,98.54,102.25,100.39,272.48,939.52
BF16,2048,512,512,4096,32,8,14336,True,8,32,256,176388.76,187.78,195.2,191.48,535.62,955.9
,,,,,,,,,,,,,,,,,
